ID,Section,Question,Translation,Translate ENG,Copy New,Sample Answer
94,Wealth,automobile_owner,Wer ist der Fahrzeughalter?,,Wer ist als Fahrzeughalter eingetragen?,Max Mustermann
95,Wealth,property_yes_no,"Besitzen Sie ein Haus, Wohnung oder Land?",,"Haben Sie ein Haus, eine Wohnung oder ein Grundstück?",
96,Wealth,property_address,Adresse der Immobilie?,,Wie lautet die Adresse der Immobilie?,"Musterstraße 12, 10115 Berlin"
97,Wealth,property_usage,Wie wird die Immobilie genutzt?,,Wie nutzen Sie die Immobilie?,selbst genutzt
98,Wealth,property_size,Größe der Immobilie in Quadratmeter?,,Wie groß ist die Immobilie in Quadratmetern?,
99,Wealth,additional_wealth_yes_no,Besitzen Sie weitere Vermögenswerte?,,Haben Sie weitere Vermögenswerte?,
100,Wealth,additional_wealth_type,Welche Vermögenswerte besitzen Sie?,,Welche weiteren Vermögenswerte haben Sie?,Wertpapiere
101,Wealth,additional_wealth_amount,Was ist der Wert Ihres Vermögenswertes?,,Wie viel ist dieser Vermögenswert ungefähr wert?,
102,Additional,costly_diet,Ist eine kostenaufwendige Ernährung aus medizinischen Gründen erforderlich?,,"Brauchen Sie aus medizinischen Gründen eine besondere Ernährung, die mehr kostet?",
103,Spouse,spouse_last_name,Wie lautet der Nachname Ihres Ehepartners?,,Wie lautet der Nachname Ihres Ehepartners oder Partners?,Mustermann
104,Spouse,spouse_birth_name,Wie lautet der Geburtsname Ihres Ehepartners?,,Wie lautet der Geburtsname Ihres Ehepartners oder Partners?,Müller
105,Spouse,spouse_first_name,Wie lautet der Vorname Ihres Ehepartners?,,Wie lautet der Vorname Ihres Partners?,Max
106,Spouse,spouse_birthdate,Wann wurden Ihr Ehepartner geboren?,,Wann wurde Ihr Partner geboren?,
107,Spouse,spouse_city_of_birth,In welcher Stadt wurden Ihr Ehepartner geboren?,,In welcher Stadt wurde Ihr Partner geboren?,Berlin
108,Spouse,spouse_district_of_birth,In welchem Kreis/Bezirk wurde Ihr Ehepartner geboren?,,In welchem Kreis oder Bezirk wurde Ihr Partner geboren?,Mitte
109,Spouse,spouse_country_of_birth,In welchem Land wurden Ihr Ehepartner geboren?,,In welchem Land wurde Ihr Partner geboren?,Deutschland
110,Spouse,spouse_gender,Was ist das Geschlecht Ihres Ehepartners?,,Welches Geschlecht hat Ihr Partner?,
111,Spouse,spouse_citizenship,Was ist die Staatsangehörigkeit Ihres Ehepartners?,,Welche Staatsangehörigkeit hat Ihr Partner?,deutsch
112,Spouse,spouse_issuer_of_id,Welche Behörde hat das Personaldokument ausgestellt?,,Welche Behörde hat das Personaldokument Ihres Partners ausgestellt?,Bezirksamt Mitte
113,Spouse,spouse_id_expiry_date,Bis wann ist das Personaldokument Ihres Partners gültig?,,Bis wann ist das Personaldokument Ihres Partners gültig?,
114,Spouse,spouse_prior_social_aid,Hat Ihr Partner bereits Hilfe zur Pflege Leistungen erhalten?,,Hat Ihr Partner schon einmal Hilfe-zur-Pflege bekommen?,
115,Spouse,spouse_prior_social_aid_until,Bis wann hat Ihr Partner Hilfe zur Pflege erhalten?,,Bis wann hat Ihr Partner Hilfe-zur-Pflege bekommen?,
116,Spouse,spouse_prior_social_aid_issuer,Welche Behörde hat die Hilfe zur Pflege genehmigt?,,Welche Behörde hat die Hilfe-zur-Pflege bewilligt?,Sozialamt Mitte
117,Spouse,spouse_prior_social_aid_reference_id,Was ist das Geschäftszeichen der Genehmigung?,,Welches Aktenzeichen steht auf dem Bescheid?,50-123456
118,Spouse,spouse_power_of_attorney,Gibt es einen Betreuer oder Beistand?,,Hat Ihr Partner eine gesetzliche Betreuung oder eine bevollmächtigte Person?,
119,Spouse,spouse_special_origin_rights,Liegt ein Sonderstatus vor?,,Hat Ihr Partner einen Vertriebenen- oder Spätaussiedlerausweis?,
120,Spouse,spouse_special_origin_rights_issued,Wann wurde der Sonderstatus ausgestellt?,,Wann wurde der Ausweis ausgestellt?,
121,Spouse,spouse_special_origin_rights_issued_by,Welche Behörde hat den Sonderstatus ausgestellt?,,Welche Behörde hat den Ausweis ausgestellt?,Bundesverwaltungsamt
122,Spouse,spouse_disability_card,Liegt ein Schwerbehindertenausweis vor?,,Hat Ihr Partner einen Schwerbehindertenausweis?,
123,Spouse,spouse_disability_card_application,Wurde ein Antrag auf Schwerbehinderung gestellt?,,Hat Ihr Partner einen Schwerbehindertenausweis beantragt?,
124,Spouse,spouse_disability card_expiry,Bis wann ist der Schwerbehindertenausweis gültig?,,Bis wann ist der Schwerbehindertenausweis Ihres Partners gültig?,
125,Spouse,spouse_disability_card_markers,Welche Merkzeichen hat der Schwerbehindertenausweis?,,Welche Merkzeichen stehen im Schwerbehindertenausweis Ihres Partners?,
126,Spouse,spouse_health_insurance,Bei welcher Krankenkasse ist Ihr Partner versichert?,,Bei welcher Krankenkasse ist Ihr Partner versichert?,AOK Nordost
127,Spouse,spouse_health_insurance_type,Wie ist Ihr Partner krankenversichert?,,Wie ist Ihr Partner krankenversichert?,
128,Spouse,spouse_care_level,Was ist ihre/seine Pflegestufe?,,Welchen Pflegegrad hat Ihr Partner?,
129,Spouse,spouse_in_facility_yes_no,Wohnt Ihr Partner in stationären Pflegeeinrichtung?,,Wohnt Ihr Partner in einem Pflegeheim?,
130,Spouse,spouse_in_facility_since,Wann fand/findet der Einzug in die Pflegeeinrichtung statt?,,Wann ist Ihr Partner in das Pflegeheim eingezogen?,
131,Spouse,spouse_prior_social_service_applications,Hat Ihr Partner weitere Sozialleistungen beantragt?,,Hat Ihr Partner weitere Sozialleistungen beantragt?,
132,Spouse,spouse_pension_type,Welche Rente/Pension bezieht Ihr Partner?,,Welche Rente oder Pension bekommt Ihr Partner?,
133,Spouse,spouse_pension_amount,Wie hoch ist die monatliche Rente/Pension?,,Wie hoch ist diese Rente oder Pension pro Monat?,
134,Spouse,spouse_pension_id,Was ist die Abrechnungsnummer der Rente/Pension?,,Welche Abrechnungsnummer hat diese Rente oder Pension?,R123456789
135,Spouse,spouse_pension_issuer,Wer bezahlt die Rente/Pension?,,Von wem bekommt Ihr Partner diese Rente oder Pension?,Deutsche Rentenversicherung
136,Spouse,spouse_wohngeld_yes_no,Bezieht Ihr Partner Wohngeld?,,Bekommt Ihr Partner Wohngeld?,
137,Spouse,spouse_wohngeld_amount,Wie viel Wohngeld bezieht er/sie?,,Wie viel Wohngeld bekommt Ihr Partner pro Monat?,
138,Spouse,spouse_wohngeld_id,Was ist die Abrechnungsnummer des Wohngeld?,,Welches Aktenzeichen steht auf dem Wohngeldbescheid?,WG-123456
139,Spouse,spouse_other_income,Beziehen Ihr Partner anderes Einkommen?,,Hat Ihr Partner weiteres Einkommen?,
140,Spouse,spouse_other_income_type,Welche Art von Einkommen bezieht er/sie?,,Welche Art von weiterem Einkommen hat Ihr Partner?,Mieteinnahmen
141,Spouse,spouse_other_income_amount,Wie hoch ist das weitere Einkommen monatlich?,,Wie hoch ist dieses weitere Einkommen pro Monat?,
142,Spouse,spouse_health_insurance_amount,Wie hoch sind die monatlichen Ausgaben für Ihre Krankenversicherung?,,Wie hoch ist der monatliche Beitrag zur Krankenversicherung Ihres Partners?,
143,Spouse,spouse_care_insurance_amount,Wo hoch sind die monatlichen Ausgaben für Ihre Pflegeversicherung?,,Wie hoch ist der monatliche Beitrag zur Pflegeversicherung Ihres Partners?,
144,Spouse,spouse_general_liablity_insurance_yes_no,Hat Ihr Partner eine Haftpflichtversicherung?,,Hat Ihr Partner eine Haftpflichtversicherung?,
145,Spouse,spouse_general_liablity_insurance_provider,Wer ist Träger Ihrer Haftpflichtversicherung?,,Bei welcher Versicherung hat Ihr Partner die Haftpflichtversicherung?,HUK-Coburg
146,Spouse,spouse_general_liability_amount,Wo hoch ist der monatliche Betrag Ihrer Haftpflichtversicherung?,,Wie hoch ist der monatliche Beitrag zur Haftpflichtversicherung?,
147,Spouse,spouse_life_insurance,Hat Ihr Partner eine Lebens- oder Sterbeversicherung?,,Hat Ihr Partner eine Lebens- oder Sterbeversicherung?,
148,Spouse,spouse_life_insurance_amount,Wie hoch ist der monatliche Beitrag ihrer/seiner Lebens- oder Sterbeversicherung?,,Wie hoch ist der monatliche Beitrag für diese Versicherung?,
149,Spouse,spouse_bank_savings_account_amount,Wie hoch ist der Betrag auf seinem/ihrem Sparkonto?,,Wie viel Geld ist auf dem Sparkonto Ihres Partners?,
150,Spouse,spouse_bank_account_amount,Wie hoch ist der Betrag auf ihrem/seinen Girokonto?,,Wie viel Geld ist auf dem Girokonto Ihres Partners?,
151,Spouse,spouse_automobile_yes_no,Besitzen Ihr Partner ein Auto?,,Hat Ihr Partner ein Auto?,
152,Spouse,spouse_automobile_numbers_plate,Was ist der Kennzeichen des Autos?,,Welches Kennzeichen hat das Auto?,B-AB 1234
153,Spouse,spouse_automobile_type,Was ist das Modell des Autos?,,Welches Modell ist das Auto?,VW Golf
154,Spouse,spouse_automobile_year,Was ist das Baujahr des Autos?,,Aus welchem Baujahr ist das Auto?,
155,Spouse,spouse_automobile_owner,Wer ist der Fahrzeughalter?,,Wer ist als Fahrzeughalter eingetragen?,Max Mustermann
156,Spouse,spouse_property_yes_no,"Besitzen Ihr Partner ein Haus, Wohnung oder Land?",,"Hat Ihr Partner ein Haus, eine Wohnung oder ein Grundstück?",
157,Spouse,spouse_additional_wealth_yes_no,Besitzen Ihr Partner weitere Vermögenswerte?,,Hat Ihr Partner weitere Vermögenswerte?,
158,Spouse,spouse_additional_wealth_type,Welche Vermögenswerte besitzt Ihr Partner?,,Welche weiteren Vermögenswerte hat Ihr Partner?,Wertpapiere
159,Spouse,spouse_additional_wealth_amount,Was ist der Wert Ihres Vermögensgegenstandes?,,Wie viel ist dieser Vermögenswert ungefähr wert?,
